ID,Inizio (YYYY-MM-DD h:min:s),Inizio (DD/MM/YYYY),Fine (YYYY-MM-DD h:min:s),Fine (DD/MM/YYYY),Year,Value (μg.m-3),Comune,Indirizzo,Air Quality Station Area,Latitudine,Longitudine,EOL Code stazione,Tipo stazione,Provincia,Provincia (nome completo),Regione,Area,Area (macro)
SPO.IT1269A_20_GC-FID_2001-12-07_00:00:00,2020-09-06 23:00:00,06/09/2020,2020-09-07 0:00:00,07/09/2020,2020,"35,2078",Sarroch,"Via al Mare, 2, 09018 Sarroch CA, Italy",suburban,"39,07000","9,01667",IT1269A,industriale,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT1200A_20_GC-FID_2000-06-22_00:00:00,2013-01-04 23:00:00,04/01/2013,2013-01-05 0:00:00,05/01/2013,2013,"35,2",Frosinone,"Frosinone,03100, 03100 Frosinone FR, Italy",urban,"41,62431","13,33092",IT1200A,traffico,FR,Frosinone,Lazio,Centro,Centro
SPO.IT2293A_20_GC-PID_2019-04-30_00:00:00,2022-07-20 0:00:00,20/07/2022,2022-07-20 1:00:00,20/07/2022,2022,"35,2",Monfalcone,"Area Verde, Via E. Valentinis, 34074 Monfalcone GO, Italy",urban,"45,80296","13,54450",IT2293A,fondo,GO,Gorizia,Friuli-Venezia Giulia,Nord-est,Nord
SPO.IT2274A_20_GC-FID_2016-06-16_00:00:00,2019-12-17 14:00:00,17/12/2019,2019-12-17 15:00:00,17/12/2019,2019,"35,19",Porto Empedocle,"Via Spinola, 16, 92014 Porto Empedocle AG, Italy",suburban,"37,29189","13,53254",IT2274A,fondo,AG,Agrigento,Sicilia,Isole,Sud e isole
SPO.IT1947A_20_GC-FID_2009-07-14_00:00:00,2020-06-30 23:00:00,30/06/2020,2020-07-01 0:00:00,01/07/2020,2020,"35,17685",Sarroch,"Via Gioacchino Rossini, 25, 09018 Sarroch CA, Italy",urban,"39,06667","9,00889",IT1947A,fondo,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT2108A_20_GC-PID_2012-01-01_00:00:00,2020-03-10 8:00:00,10/03/2020,2020-03-10 9:00:00,10/03/2020,2020,"35,16",Bragno,"Via Sergio Scaiola, 7, 17014 Bragno SV, Italy",suburban,"44,37494","8,29868",IT2108A,industriale,SV,Savona,Liguria,Nord-ovest,Nord
SPO.IT1269A_20_GC-FID_2001-12-07_00:00:00,2021-07-31 19:00:00,31/07/2021,2021-07-31 20:00:00,31/07/2021,2021,"35,0861",Sarroch,"Via al Mare, 2, 09018 Sarroch CA, Italy",suburban,"39,07000","9,01667",IT1269A,industriale,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT1269A_20_GC-FID_2001-12-07_00:00:00,2021-07-10 6:00:00,10/07/2021,2021-07-10 7:00:00,10/07/2021,2021,"35,0834",Sarroch,"Via al Mare, 2, 09018 Sarroch CA, Italy",suburban,"39,07000","9,01667",IT1269A,industriale,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT2108A_20_GC-PID_2012-01-01_00:00:00,2020-03-18 22:00:00,18/03/2020,2020-03-18 23:00:00,18/03/2020,2020,"35,06",Bragno,"Via Sergio Scaiola, 7, 17014 Bragno SV, Italy",suburban,"44,37494","8,29868",IT2108A,industriale,SV,Savona,Liguria,Nord-ovest,Nord
SPO.IT0618A_20_GC-FID_1983-04-30_23:00:00,2023-09-18 8:00:00,18/09/2023,2023-09-18 9:00:00,18/09/2023,2023,"35,0293",Augusta,"Via Vettor Pisani, 1, 96011 Augusta SR, Italy",urban,"37,21840","15,22050",IT0618A,fondo,SR,Siracusa,Sicilia,Isole,Sud e isole
